codigo,artista,musica,letra
01001,Paralamas do Sucesso,A Lhe Esperar,Lá onde o vento vai dar
01002,Aviões do Forró e Banda Calypso,Agora Chora,Sei que nada vai fazer você voltar
01003,Asa de Águia e Ivete Sangalo,Além Mar,Tudo que eu preciso eu já tenho aqui
01004,Fresno,Alguém Que Te Faz Sorrir,Eu nunca consegui saber diferenciar
01005,Eduardo Costa e Amado Batista,Amigo,Amigo fica um pouco aqui comigo
01006,Ivete Sangalo,Cadê Dalila?,Vai buscar Dalila
01007,Ivete Sangalo,Dengo De Amor,Encontrar você que coisa boa
01008,Asa de Águia,Dia Do Asa,Leve o seu amor pra passear
01009,Asa de Águia,Farrauê,Mãos para o alto todo mundo
01010,Chiclete com Banana,Flutuar,Por isso vem cá me traz o amor
01011,Edson e Hudson e Bruno e Marrone,Imprevisível,Como esquecer o seu olhar
01012,Banda Calypso,Máquina Do Tempo,Saudade que não vai embora
01013,Tony Garrido,Me Libertei,Jurei nunca mais fazer som por aqui
01014,Eduardo Costa,Melhor Ou Pior,Vou caminhar por uma estrada
01015,Moacyr Franco,Milagre Da Flecha,Era alta madrugada
01016,Hugo e Tiago,Misteriosa,Tô em casa mais um dia que se acaba
01017,Guilherme e Santiago,O Amor É Assim,Coração cansou de esperar
01018,Zezé Di Camargo e Luciano,O Que Vai Ser De Nós,Diz nada não
01019,Armandinho,Outra Vida,Talvez não seja nessa vida ainda
01020,Latino e André e Adriano,Pancadão Ou Sertanejo,O sertanejo faz o povo levantar
01021,Cesar Menotti e Fabiano,Para De Chorar,Você me humilhou me maltratou
01022,Skank,Para-Raio,Passa o tempo lento ensaio
01023,Belo,Perfume,Vivia com o coração fechado
01024,Jake,Pó Pará Com Pó,Pó pará com pó pó pará com pó aê
01025,Jammil e Uma Noites,Saudade Dói,La la la la la la la la la la la la
01026,Luiz Cláudio e Giuliano,Seu Jardineiro (Margarida),Sábado à tarde eu saí
01027,Daniela Mércury,Sol Do Sul,Eu trago o sol
01028,Banda Eva,Toda Linda,Olha lá ela passando toda linda
01029,Jota Quest,Vem Andar Comigo,Basta olhar no fundo dos meus olhos
01030,Banda Calypso,Viagem Louca,De onde vem
01031,Lucinha Lins,A Bailarina,Um dois três e quatro dobro a
01032,Simone,A Bicicleta,B-I-C-I-C-L-E-T-A sou sua amiga
01033,Boca Livre,A Casa,Era uma casa muito engraçada
01034,Infantil,Adoletá,Ado-le-ta lê peti lê tomá
01035,Xuxa,Arco-Íris,Vou pintar um arco-íris de
01036,Infantil,Atirei O Pau No Gato,Atirei o pau no gato to
01037,Balão Mágico (A turma do),Baile Dos Passarinhos,Passarinho quer dançar o rabicho
01038,Os Saltimbancos,Bicharia,Au au au ió i-ó miau miau miau
01039,14 Bis,Bola De Meia Bola De Gude,Há um menino há um moleque
01040,Infantil,Cai Cai Balão,Cai cai balão cai cai balão
01041,Raul Seixas,O Carimbador Maluco,"""Cinco quatro três dois pare"
01042,Infantil,Coelhinho De Olhos Vermelhos,De olhos vermelhos de pêlo
01043,Chiquititas,Coração Com Buraquinhos,Sabe o coração às vezes chora
01044,Jairzinho e Simony,Coração De Papelão,Recortei a luz da lua e colei num
01045,Eliana,Os Dedinhos,Ou ou... Dedinhos... Polegares
01046,Balão Mágico (A turma do),Dia Dos Pais,Um passarinho me acordou
01047,Sandy e Junior,Dig-Dig-Joy,Dig-dig-joy...vem brincar comigo
