code,name,Artista,Musica,Letra
01001,01001.mp4,Paralamas do Sucesso,A Lhe Esperar,Lá onde o vento vai dar
01002,01002.mp4,Aviões do Forró e Banda Calypso,Agora Chora,Sei que nada vai fazer você voltar
01003,01003.mp4,Asa de Águia e Ivete Sangalo,Além Mar,Tudo que eu preciso eu já tenho aqui
01004,01004.mp4,Fresno,Alguém Que Te Faz Sorrir,Eu nunca consegui saber diferenciar
01005,01005.mp4,Eduardo Costa e Amado Batista,Amigo,Amigo fica um pouco aqui comigo
01006,01006.mp4,Ivete Sangalo,Cadê Dalila?,Vai buscar Dalila
01007,01007.mp4,Ivete Sangalo,Dengo De Amor,Encontrar você que coisa boa
01008,01008.mp4,Asa de Águia,Dia Do Asa,Leve o seu amor pra passear
01009,01009.mp4,Asa de Águia,Farrauê,Mãos para o alto todo mundo
01010,01010.mp4,Chiclete com Banana,Flutuar,Por isso vem cá me traz o amor
01011,01011.mp4,Edson e Hudson e Bruno e Marrone,Imprevisível,Como esquecer o seu olhar
01012,01012.mp4,Banda Calypso,Máquina Do Tempo,Saudade que não vai embora
01013,01013.mp4,Tony Garrido,Me Libertei,Jurei nunca mais fazer som por aqui
01014,01014.mp4,Eduardo Costa,Melhor Ou Pior,Vou caminhar por uma estrada
01015,01015.mp4,Moacyr Franco,Milagre Da Flecha,Era alta madrugada
01016,01016.mp4,Hugo e Tiago,Misteriosa,Tô em casa mais um dia que se acaba
01017,01017.mp4,Guilherme e Santiago,O Amor É Assim,Coração cansou de esperar
01018,01018.mp4,Zezé Di Camargo e Luciano,O Que Vai Ser De Nós,Diz nada não
01019,01019.mp4,Armandinho,Outra Vida,Talvez não seja nessa vida ainda
01020,01020.mp4,Latino e André e Adriano,Pancadão Ou Sertanejo,O sertanejo faz o povo levantar
01021,01021.mp4,Cesar Menotti e Fabiano,Para De Chorar,Você me humilhou me maltratou
01022,01022.mp4,Skank,Para-Raio,Passa o tempo lento ensaio
01023,01023.mp4,Belo,Perfume,Vivia com o coração fechado
01024,01024.mp4,Jake,Pó Pará Com Pó,Pó pará com pó pó pará com pó aê
01025,01025.mp4,Jammil e Uma Noites,Saudade Dói,La la la la la la la la la la la la
01026,01026.mp4,Luiz Cláudio e Giuliano,Seu Jardineiro (Margarida),Sábado à tarde eu saí
01027,01027.mp4,Daniela Mércury,Sol Do Sul,Eu trago o sol
01028,01028.mp4,Banda Eva,Toda Linda,Olha lá ela passando toda linda
01029,01029.mp4,Jota Quest,Vem Andar Comigo,Basta olhar no fundo dos meus olhos
01030,01030.mp4,Banda Calypso,Viagem Louca,De onde vem
01031,01031.mp4,Lucinha Lins,A Bailarina,Um dois três e quatro dobro a
01032,01032.mp4,Simone,A Bicicleta,B-I-C-I-C-L-E-T-A sou sua amiga
01033,01033.mp4,Boca Livre,A Casa,Era uma casa muito engraçada
